itemID,name_food,link_food,link_image_food,avg_rating
1,Chicken Schnitzel,https://www.food.com/recipe/chicken-schnitzel-100005,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/00/05/CGmhzV09TQ28FL3gYXnU_DSC03812-2.jpg",4.81
2,Easy Bisquick Chicken Pot Pie,https://www.food.com/recipe/easy-bisquick-chicken-pot-pie-100215,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/02/15/xJgG3vS5Q0a8VcKwGQ9U_chicken-pot-pie-1.jpg",4.44
3,Best Apple Pie Jam,https://www.food.com/recipe/best-apple-pie-jam-100315,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/03/15/picaoWR13.jpg",4.92
4,Thousand Island Dressing,https://www.food.com/recipe/thousand-island-dressing-100355,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/03/55/KwisHTp2Qabnuo7bMrje_0S9A6123.jpg",4.87
5,Kelly's Southwestern Beef Stew,https://www.food.com/recipe/kellys-southwestern-beef-stew-100379,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/03/79/4OHd3TR1SRqHl0DO7QX5_SW%20beef%20stew%20SITE-1.jpg",4.69
6,Turkey Breakfast Sausage Patties,https://www.food.com/recipe/turkey-breakfast-sausage-patties-100408,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/04/08/PVNHriBeQPmJG3nDVDZK_0S9A5176.jpg",4.6
7,Simmered Cabbage,https://www.food.com/recipe/simmered-cabbage-100417,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/04/17/picKOZuto.jpg",4.62
8,Unbelievable Apple Pie,https://www.food.com/recipe/unbelievable-apple-pie-100480,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/04/80/picupzlln.jpg",4.42
9,Pizza Dough and Sauce,https://www.food.com/recipe/pizza-dough-and-sauce-1005,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/05/picfq5pUS.jpg",4.53
10,Banana-Oatmeal Bread,https://www.food.com/recipe/banana-oatmeal-bread-100513,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/05/13/jqwWPU9uQi2YChkE6i6Z_0S9A9730.jpg",4.58
11,"Sweet, Creamy Coleslaw",https://www.food.com/recipe/sweet-creamy-coleslaw-100526,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/05/26/1uKWAAA4Rc2IKdJznmWW_creamy%20coleslaw%20SITE-2.jpg",4.87
12,Sabrina's Sandwich Bread,https://www.food.com/recipe/sabrinas-sandwich-bread-100594,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/05/94/picgiTXwz.jpg",4.74
13,BBQ Pulled Pork Sandwiches,https://www.food.com/recipe/bbq-pulled-pork-sandwiches-100626,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/06/26/8rV4RUyYS7sMpxD4EeVg_bbq-pulled-pork-4.jpg",4.78
14,"Thick, Soft, and Chewy Chocolate Chip Cookies",https://www.food.com/recipe/thick-soft-and-chewy-chocolate-chip-cookies-100727,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/07/27/g7lPJza5S36uxArQaAuu_Chocolate%20Chip%20Cookies%20SITE-1.jpg",4.42
15,Sheila's Peppered Lamb Chops,https://www.food.com/recipe/sheilas-peppered-lamb-chops-100761,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/10/07/61/6nsXp9HUQ7uZTyHpuoC7_0S9A3382.jpg",4.79
